"Database","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO-BP","GO:0006778","porphyrin-containing compound metabolic process",46,-0.820327930977505,-1.46384739272836,0.00772439691087494,0.679364111015389,0.679364111015389,768,"tags=7%, list=3%, signal=6%","259/2168/54658",0.407017918923954
"GO-BP","GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process",22,-0.881068688978433,-1.46321924442991,0.0122644486012396,0.765466589831312,0.765466589831312,104,"tags=5%, list=0%, signal=5%","374462",0.380730400722792
"GO-BP","GO:0019321","pentose metabolic process",10,-0.928908564268561,-1.46239239903134,0.0152591765955939,0.806583117982756,0.806583117982756,111,"tags=10%, list=0%, signal=10%","283310",0.380730400722792
"GO-BP","GO:0048536","spleen development",9,-0.933628794649738,-1.46174937597475,0.0113498948377382,0.741526462732232,0.741526462732232,516,"tags=11%, list=2%, signal=11%","6943",0.380730400722792
"GO-BP","GO:0006270","DNA replication initiation",39,-0.823760646259033,-1.45924679802069,0.00953532043261371,0.734643449328593,0.734643449328593,428,"tags=5%, list=1%, signal=5%","345643/647309",0.380730400722792
"GO-BP","GO:0086064","cell communication by electrical coupling involved in cardiac conduction",24,-0.879938813000392,-1.45860453515291,0.00690734612218297,0.679364111015389,0.679364111015389,1409,"tags=17%, list=5%, signal=16%","10052/477/6910/10345",0.407017918923954
"GO-BP","GO:0070861","regulation of protein exit from endoplasmic reticulum",25,-0.876723230650839,-1.45843446782655,0.00714844619847336,0.679364111015389,0.679364111015389,105,"tags=4%, list=0%, signal=4%","123264",0.407017918923954
"GO-BP","GO:0071340","skeletal muscle acetylcholine-gated channel clustering",12,-0.900196048370946,-1.45805289811224,0.0260405715810334,0.987861683203072,0.987861683203072,201,"tags=8%, list=1%, signal=8%","284217",0.352487857583619
"GO-BP","GO:1902751","positive regulation of cell cycle G2/M phase transition",26,0.76631213914089,1.45695551224521,0.0444862929384282,1,1,67,"tags=4%, list=0%, signal=4%","8929",0.321775918075361
"GO-BP","GO:0001825","blastocyst formation",12,-0.899010593737353,-1.4561328101856,0.0269437029022592,0.993072598687166,0.993072598687166,53,"tags=8%, list=0%, signal=8%","7022",0.352487857583619
