"Rank","Ensembl_ID","DESeq2_log2FC","edgeR_logFC","DESeq2_padj","edgeR_FDR","mean_padj"
192,"ENSG00000237276.8",1.775,1.737,0.00155712309252632,0.000800541126848246,0.00117883210968728
193,"ENSG00000166750.9",1.755,1.741,5.19879236964177e-05,0.00237264284418699,0.00121231538394171
194,"ENSG00000170385.9",2.817,2.822,3.61215825135563e-07,0.00273501664255098,0.00136768892918806
195,"ENSG00000280270.1",7.129,3.264,6.34106124412186e-06,0.00273808088414512,0.00137221097269462
196,"ENSG00000123610.4",2.727,2.073,0.00300667838297994,2.4795902961825e-07,0.00150346317100478
197,"ENSG00000262979.1",3.166,2.434,0.00322086997896,0.000173769061988494,0.00169731952047425
198,"ENSG00000128383.12",1.372,1.425,0.000372071071728315,0.00350131152312056,0.00193669129742444
199,"ENSG00000133101.9",3.469,2.076,0.0039371406666973,8.96088765047661e-05,0.00201337477160103
200,"ENSG00000185339.8",1.426,1.427,0.0032514671681299,0.00105014416223348,0.00215080566518169
201,"ENSG00000170542.5",1.011,1.005,7.77704273301978e-05,0.00447815689446257,0.00227796366089639
202,"ENSG00000140511.11",1.076,1.069,0.00424608412484549,0.000409239748666078,0.00232766193675579
203,"ENSG00000252206.1",2.092,1.861,0.00590825312163137,0.000191448605158374,0.00304985086339487
204,"ENSG00000207034.1",1.491,1.512,0.00651475129277444,2.53173331674913e-05,0.00327003431297097
205,"ENSG00000168062.9",2.404,2.83,0.00691906491310733,2.67868582378732e-07,0.00345966639084486
206,"ENSG00000224666.3",3.333,2.487,0.00662093658567374,0.000563332792946245,0.00359213468930999
207,"ENSG00000263648.1",1.222,1.327,0.00730163904758648,0.000717681579888428,0.00400966031373745
208,"ENSG00000175518.6",1.203,1.302,0.00673976766334387,0.00200330790448041,0.00437153778391214
209,"ENSG00000198087.7",1.058,1.043,0.000305348264348998,0.00956594629042887,0.00493564727738893
210,"ENSG00000175643.8",1.707,1.51,0.00187857149327168,0.00832355386310066,0.00510106267818617
211,"ENSG00000163121.9",3.24,2.618,0.0107943541630903,2.99961393804888e-06,0.00539867688851417
212,"ENSG00000197646.7",1.349,1.435,0.0102333751491029,0.000645993954494795,0.00543968455179887
213,"ENSG00000272512.1",2.31,2.185,0.00706254967232186,0.00494416032386864,0.00600335499809525
214,"ENSG00000163644.14",1.277,1.271,0.00331940581231835,0.0106505074022269,0.00698495660727262
215,"ENSG00000123685.8",1.265,1.301,0.012910217871748,0.00120183432675274,0.00705602609925035
216,"ENSG00000260549.1",4.191,2.306,0.00108678281899657,0.0134441070201687,0.00726544491958261
217,"ENSG00000233785.1",2.215,2.607,0.0152688886975842,1.33027299375108e-05,0.00764109571376087
218,"ENSG00000254287.1",3.245,2.999,0.015666513305451,2.94553430169791e-05,0.00784798432423401
219,"ENSG00000108387.14",1.351,1.573,0.00165506331349734,0.0144541930411759,0.00805462817733661
220,"ENSG00000266947.1",1.322,1.084,0.00663564727236213,0.0103558157580264,0.00849573151519429
221,"ENSG00000246375.2",2.057,1.637,0.0163980195981852,0.00107706475599867,0.00873754217709192
222,"ENSG00000204010.3",6.01,1.457,2.5983850682478e-06,0.0177537149133023,0.00887815664918525
223,"ENSG00000226751.2",3.328,1.872,0.0163078394214706,0.00248894733003526,0.00939839337575294
224,"ENSG00000237980.1",3.031,1.766,0.0126253510110571,0.00637552320258539,0.00950043710682125
225,"ENSG00000255337.1",1.013,1.082,0.0063497384609664,0.0138797691787202,0.0101147538198433
226,"ENSG00000158373.8",1.429,1.358,0.000697241389986945,0.0213775461479601,0.0110373937689735
227,"ENSG00000224789.1",1.257,1.165,0.012825328165547,0.00960435939335981,0.0112148437794534
228,"ENSG00000131142.13",2.584,1.922,0.0223384771011484,0.00107444707748318,0.0117064620893158
229,"ENSG00000203812.2",1.539,1.5,0.000941599171012141,0.0226094316899065,0.0117755154304593
230,"ENSG00000180596.7",2.118,1.86,0.000104944620594312,0.0236587894338488,0.0118818670272216
231,"ENSG00000224969.1",3.645,1.634,0.00477393393940271,0.0201007820991493,0.012437358019276
232,"ENSG00000272196.2",1.554,1.515,0.00105950484857074,0.0246792080783459,0.0128693564634583
233,"ENSG00000269053.1",1.308,1.22,0.0215624187061058,0.00541365513700974,0.0134880369215578
234,"ENSG00000025708.13",1.918,1.897,0.0285629074504996,7.66359354898529e-10,0.0142814541084295
235,"ENSG00000202400.1",2.195,1.743,0.026533503394758,0.00683676212273965,0.0166851327587488
236,"ENSG00000089692.8",1.646,1.444,0.033729253113319,0.000244594166556892,0.0169869236399379
237,"ENSG00000200879.1",1.476,1.321,0.0312811005238888,0.00278110400966906,0.0170311022667789
238,"ENSG00000258521.1",1.678,1.855,0.0344833562816405,2.06684411319619e-05,0.0172520123613862
239,"ENSG00000141977.9",1.363,1.112,0.0331754501913233,0.00237764696295368,0.0177765485771385
240,"ENSG00000203814.6",1.625,1.512,0.00692074942223879,0.0290659255090069,0.0179933374656229
241,"ENSG00000167858.12",3.514,1.661,0.0122872612406083,0.0284225053637792,0.0203548833021937
242,"ENSG00000143333.6",1.386,1.366,0.0191753425937657,0.0221430960314653,0.0206592193126155
243,"ENSG00000255968.1",1.344,1.003,0.0132011891893897,0.028428005665057,0.0208145974272234
244,"ENSG00000126262.4",1.01,1.13,0.023380574668313,0.0190697139830278,0.0212251443256704
245,"ENSG00000279144.1",2.391,1.392,0.0178264849359163,0.0250795822856011,0.0214530336107587
246,"ENSG00000171119.2",-2.832,-1.627,0.0404355049847153,0.00503099091276976,0.0227332479487425
247,"ENSG00000185885.15",2.246,2.228,0.0462347090320499,1.59955993320591e-08,0.0231173625138246
248,"ENSG00000273802.2",2.374,2.129,0.000202898790147448,0.0467023174682066,0.023452608129177
249,"ENSG00000257735.1",3.114,1.537,0.0157965330074994,0.0314709836684394,0.0236337583379694
250,"ENSG00000163666.8",1.65,2.274,0.047268117332135,0.00025442318408617,0.0237612702581106
251,"ENSG00000184678.10",1.049,1.02,0.00713668802025214,0.0426333593293014,0.0248850236747768
252,"ENSG00000124762.13",1.091,1.172,0.0205413533617055,0.0305974532719446,0.0255694033168251
253,"ENSG00000123358.19",1.402,1.551,0.0146289847416845,0.038122109347286,0.0263755470444853
254,"ENSG00000181634.7",2.113,1.437,0.0426261735392986,0.0106406703896194,0.026633421964459
255,"ENSG00000108821.13",1.517,1.269,0.0447244083374925,0.00961983278158042,0.0271721205595364
256,"ENSG00000229241.1",1.534,1.57,0.0404355049847153,0.0157331449749823,0.0280843249798488
257,"ENSG00000064300.8",1.311,1.288,0.0223054171469024,0.0395432876055985,0.0309243523762505
258,"ENSG00000278493.1",2.431,1.272,0.0227934593751862,0.04462623780617,0.0337098485906781
259,"ENSG00000271947.1",2.41,1.465,0.0338451852328665,0.0468765452956109,0.0403608652642387
