"Database","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO-BP",NA,NA,"GO:0060760","positive regulation of response to cytokine stimulus","6/159","60/14135",0.1,8.88993710691824,6.53227747815774,5.58811915140638e-05,0.00429475302317508,0.00429475302317508,"PARP14/RIGI/TRIM6/IFIH1/PARP9/ZBP1",6
"GO-BP",NA,NA,"GO:0001959","regulation of cytokine-mediated signaling pathway","9/159","153/14135",0.0588235294117647,5.22937476877544,5.61018130010722,5.76054634294633e-05,0.00436402532237777,0.00436402532237777,"PARP14/TRIM6/PARP9/ZBP1/OAS1/STAT2/USP18/ISG15/OAS3",9
"GO-BP",NA,NA,"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","5/159","39/14135",0.128205128205128,11.3973552652798,6.93500695879368,7.14855126639551e-05,0.00533926300925287,0.00533926300925287,"BCL2L14/ATF3/TNFSF10/TNFSF15/PML",5
"GO-BP",NA,NA,"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","8/159","125/14135",0.064,5.68955974842767,5.61704200995124,8.30209935554928e-05,0.00611472678923303,0.00611472678923303,"DDX60/EIF2AK2/TREX1/GBP5/OASL/RSAD2/IFI16/DHX58",8
"GO-BP",NA,NA,"GO:0070269","pyroptotic inflammatory response","5/159","41/14135",0.121951219512195,10.841386715754,6.73086301707221,9.13743671492985e-05,0.00663778450674972,0.00663778450674972,"GBP5/IFI27/GBP1/ZBP1/AIM2",5
"GO-BP",NA,NA,"GO:0032727","positive regulation of interferon-alpha production","4/159","23/14135",0.173913043478261,15.4607601859448,7.40287502508784,0.000115543993982988,0.00828013243367279,0.00828013243367279,"RIGI/IRF7/IFIH1/STAT1",4
"GO-BP",NA,NA,"GO:0006959","humoral immune response","9/159","170/14135",0.0529411764705882,4.70643729189789,5.18561544437984,0.000129564459779333,0.00916107106946402,0.00916107106946402,"H2BC8/H2BC21/SERPING1/CXCL10/CCL25/H2BC4/CCL2/H2BC18/H2BC5",9
"GO-BP",NA,NA,"GO:0032496","response to lipopolysaccharide","11/159","254/14135",0.0433070866141732,3.84997276283861,4.88862641786743,0.000141146162939165,0.0098486592377157,0.0098486592377157,"CHMP5/TRIM6/GBP5/LGALS9/PDCD1LG2/CXCL10/NR4A1/CCL2/GCH1/CD274/TRIM5",11
"GO-BP",NA,NA,"GO:0002697","regulation of immune effector process","12/159","301/14135",0.0398671096345515,3.54416097285777,4.75875787040151,0.000153074794851158,0.0105422810012428,0.0105422810012428,"DDX60/RIGI/TRIM6/SERPING1/BST2/LGALS9/FFAR2/RSAD2/LAG3/CD274/SERPINB9/DHX58",12
"GO-BP",NA,NA,"GO:0071639","positive regulation of monocyte chemotactic protein-1 production","3/159","10/14135",0.3,26.6698113207547,8.66100138264685,0.000158162816134189,0.0107530437687129,0.0107530437687129,"LGALS9/OAS1/OAS3",3
"GO-BP",NA,NA,"GO:0001818","negative regulation of cytokine production","11/159","265/14135",0.0415094339622641,3.69016257268304,4.71523011558428,0.000204317228699313,0.0135436782974057,0.0135436782974057,"XAF1/BST2/LGALS9/SIGLEC1/GBP1/PDCD1LG2/OAS1/CD274/PML/OAS3/DHX58",11
"GO-BP",NA,NA,"GO:0002237","response to molecule of bacterial origin","11/159","265/14135",0.0415094339622641,3.69016257268304,4.71523011558428,0.000204317228699313,0.0135436782974057,0.0135436782974057,"CHMP5/TRIM6/GBP5/LGALS9/PDCD1LG2/CXCL10/NR4A1/CCL2/GCH1/CD274/TRIM5",11
"GO-BP",NA,NA,"GO:0062208","positive regulation of pattern recognition receptor signaling pathway","6/159","76/14135",0.0789473684210526,7.01837140019861,5.61110279925881,0.000210482087890979,0.0137800803961218,0.0137800803961218,"DDX60/IFI35/GBP5/OASL/RSAD2/DHX58",6
"GO-BP",NA,NA,"GO:0001960","negative regulation of cytokine-mediated signaling pathway","6/159","78/14135",0.0769230769230769,6.83841315916788,5.5148723369442,0.000242769781039745,0.0157000993762655,0.0157000993762655,"PARP14/OAS1/STAT2/USP18/ISG15/OAS3",6
"GO-BP",NA,NA,"GO:0032607","interferon-alpha production","4/159","28/14135",0.142857142857143,12.6999101527403,6.60973227422386,0.000255724486935527,0.0161441304073703,0.0161441304073703,"RIGI/IRF7/IFIH1/STAT1",4
"GO-BP",NA,NA,"GO:0032647","regulation of interferon-alpha production","4/159","28/14135",0.142857142857143,12.6999101527403,6.60973227422386,0.000255724486935527,0.0161441304073703,0.0161441304073703,"RIGI/IRF7/IFIH1/STAT1",4
"GO-BP",NA,NA,"GO:0032722","positive regulation of chemokine production","5/159","51/14135",0.0980392156862745,8.71562461462572,5.88752588336073,0.000261652217772215,0.0163240201276007,0.0163240201276007,"EIF2AK2/LGALS9/FFAR2/OAS1/OAS3",5
"GO-BP",NA,NA,"GO:0019731","antibacterial humoral response","5/159","52/14135",0.0961538461538462,8.54801644895985,5.81602921989255,0.000286884238555433,0.0176900827565053,0.0176900827565053,"H2BC8/H2BC21/H2BC4/H2BC18/H2BC5",5
